External ID,Created by,Order By,Purchase Order Date,Particulars,Vendor,Vendor,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Terms,Approval status,Branch,Line of business,Division,Department,Currency,Ship to,Item,Rate,Quantity,Amount,Project,HSN or SAC code,India Tax Nature,Nexus,Nexus Override ,Vendor Tax Reg number,Subsidiary tax reg number,Vendor Select
A/2025/PO/000129,,,15-01-2025,Sachin Jadhav Advance-CR,SachinJadhavAdvance,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000128,,,15-01-2025,Mahendra Mane Advance-CR,MahendraManeAdvance,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000127,,,15-01-2025,Suresh Pardhle Advance A/c-CR,SureshPardhleAdvanceA/c,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000126,,,15-01-2025,Suresh Pardhle Advance A/c-CR,SureshPardhleAdvanceA/c,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000125,,,15-01-2025,Padmakar Jadhav Advance-CR,PadmakarJadhavAdvance,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000124,,,15-01-2025,Mahendra Mane Advance-CR,MahendraManeAdvance,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000123,,,15-01-2025,PARESH SURVE ADV FOR EXPENCES-CR,PARESHSURVEADVFOREXPENCES,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000122,,,15-01-2025,Mahendra Mane Advance-CR,MahendraManeAdvance,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000121,,,15-01-2025,Hemanshu Sawant Advance A/c-CR,HemanshuSawantAdvanceA/c,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000120,,,15-01-2025,Suresh Pardhle Advance A/c-CR,SureshPardhleAdvanceA/c,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000119,,,15-01-2025,Mahendra Mane Advance-CR,MahendraManeAdvance,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
